term,estimate,std.error,statistic,p.value,Model
(Intercept),0.2211247412579399,0.003023356462784783,73.13882566604936,0,Log Volume
log_TOTAL_ACRES_IRRIGATED,-3.452136093370566e-6,2.9401885473350154e-6,-1.1741206517179243,0.24035112411514856,Log Volume
LATITUDE,3.30712646890258e-5,2.8108255416874455e-5,1.1765676737508177,0.2393725353206948,Log Volume
LONGITUDE,4.709540737274711e-5,2.3597019011766714e-5,1.9958202071737479,0.045957777754186975,Log Volume
WATER_RIGHT_TYPE.xStatement of Div and Use,-0.21661484561484629,4.225664578205009e-4,-512.617226488101,0,Log Volume
COUNTY.xAlpine,-1.2621007254985311e-4,2.5738864921100293e-4,-0.49034824549076444,0.6238891939712319,Log Volume
COUNTY.xAmador,-7.803670576178182e-5,2.0011708227034227e-4,-0.38995524458207137,0.6965709551552173,Log Volume
COUNTY.xButte,2.4199087489914446e-4,1.907753312653992e-4,1.2684599905765395,0.20463839923762922,Log Volume
COUNTY.xCalaveras,-8.225471900109762e-5,1.9093280387115535e-4,-0.43080454135374496,0.6666119654911915,Log Volume
COUNTY.xColusa,-3.788166550357411e-5,1.8418517747259523e-4,-0.2056716290821529,0.8370480834914567,Log Volume
COUNTY.xContra Costa,-1.6893856278721403e-5,1.80401926382115e-4,-0.09364565344462007,0.9253909393967636,Log Volume
COUNTY.xDel Norte,-5.323789510797909e-5,2.3598536174084686e-4,-0.22559829438252868,0.821514596558556,Log Volume
COUNTY.xEl Dorado,-9.571468766198265e-5,1.923431552694943e-4,-0.4976246101810884,0.618750384569501,Log Volume
COUNTY.xFresno,-6.327902827880886e-5,2.027185878275886e-4,-0.3121520772067899,0.7549259796206514,Log Volume
COUNTY.xGlenn,-3.9016295537843886e-5,2.0494427571733e-4,-0.19037514173685546,0.8490157865454253,Log Volume
COUNTY.xHumboldt,-9.655237770062352e-6,1.9518591367460514e-4,-0.04946687795390101,0.9605473886556947,Log Volume
COUNTY.xInyo,-1.561551826760148e-4,2.084628941787782e-4,-0.7490790305448595,0.4538123592358988,Log Volume
COUNTY.xKern,-4.519884154680837e-5,2.0316685578705685e-4,-0.22247153144990423,0.8239475510569076,Log Volume
COUNTY.xKings,-5.407686205335405e-5,2.1619519750140255e-4,-0.2501298025040692,0.802487781794598,Log Volume
COUNTY.xLake,-3.2723729260555108e-6,1.878224431342631e-4,-0.01742269385621976,0.9860994597865991,Log Volume
