term,estimate,std.error,statistic,p.value,Model
(Intercept),0.22112474125793996,0.031177059089098128,7.092546497923596,1.330418754591409e-12,Log Volume
log_TOTAL_ACRES_IRRIGATED,-3.452136093370571e-6,2.4388301219581664e-6,-1.415488541940268,0.15693023008297152,Log Volume
LATITUDE,3.3071264689026904e-5,2.659014182977912e-5,1.243741567861416,0.21359930230602175,Log Volume
LONGITUDE,4.709540737274807e-5,3.61192629612876e-5,1.303886167977033,0.1922771431920329,Log Volume
WATER_RIGHT_TYPE.xStatement of Div and Use,-0.21661484561484629,0.03202769271842698,-6.763360930155858,1.3599484949708506e-11,Log Volume
COUNTY.xAlpine,-1.2621007254985634e-4,9.848108222720474e-5,-1.2815666694104593,0.19999939747442103,Log Volume
COUNTY.xAmador,-7.803670576178393e-5,6.0894028025187446e-5,-1.281516567265115,0.2000169832741133,Log Volume
COUNTY.xButte,2.4199087489914167e-4,2.9479000043199186e-4,0.8208924133943581,0.4117106471786899,Log Volume
COUNTY.xCalaveras,-8.225471900109975e-5,6.390479344293111e-5,-1.287144744072378,0.1980485534060364,Log Volume
COUNTY.xColusa,-3.788166550357598e-5,3.186013219749343e-5,-1.1889990056775814,0.23444452274072977,Log Volume
COUNTY.xContra Costa,-1.6893856278722192e-5,1.3852085341094325e-5,-1.2195893876428836,0.22262511990717498,Log Volume
COUNTY.xDel Norte,-5.323789510798222e-5,4.6352253056766364e-5,-1.1485503205806025,0.2507457965103692,Log Volume
COUNTY.xEl Dorado,-9.571468766198524e-5,7.472569369676506e-5,-1.2808805502748892,0.20024032271755018,Log Volume
COUNTY.xFresno,-6.32790282788101e-5,4.808348625310543e-5,-1.3160241323958344,0.18817071330254007,Log Volume
COUNTY.xGlenn,-3.9016295537846115e-5,3.3966133658183445e-5,-1.1486822707136684,0.25069136378630674,Log Volume
COUNTY.xHumboldt,-9.655237770063753e-6,1.0854678549502975e-5,-0.8895001105772825,0.37373774739257004,Log Volume
COUNTY.xInyo,-1.561551826760178e-4,1.1909040445295047e-4,-1.3112322809996892,0.18978406019000238,Log Volume
COUNTY.xKern,-4.519884154680889e-5,3.358437438554976e-5,-1.3458294928446384,0.17836233634943233,Log Volume
COUNTY.xKings,-5.407686205335491e-5,4.0475526738965096e-5,-1.3360385005513973,0.18154149715501397,Log Volume
COUNTY.xLake,-3.2723729260563633e-6,4.917731403603058e-6,-0.665423272946303,0.505782230375262,Log Volume
COUNTY.xLassen,-1.5807950190300745e-4,1.254862939938742e-4,-1.259735201923521,0.20776955105330333,Log Volume
COUNTY.xLos Angeles,-7.19073639180738e-5,5.1605619616636446e-5,-1.3934018126756984,0.1635032150326345,Log Volume
COUNTY.xMadera,-1.0833221158461359e-4,3.2347554077021646e-4,-0.3349007820704697,0.7377010428950888,Log Volume
COUNTY.xMarin,1.799136488840109e-5,1.3759561469259349e-5,1.3075536548600144,0.19102949852041065,Log Volume
COUNTY.xMariposa,-9.438659599548528e-5,7.194514603727768e-5,-1.3119244479200831,0.1895503899142185,Log Volume
COUNTY.xMendocino,9.630361413013269e-6,6.419403517236927e-6,1.5001956781739152,0.1335687146736804,Log Volume
COUNTY.xMerced,-3.888636284685188e-5,3.0401645458546355e-5,-1.2790874395227956,0.20087095955667245,Log Volume
COUNTY.xModoc,-1.7628992605207546e-4,1.4007857623312846e-4,-1.2585074091464319,0.20821295546526863,Log Volume
COUNTY.xMono,-1.4508368969061214e-4,1.118908152301078e-4,-1.2966541479945597,0.19475494370405502,Log Volume
COUNTY.xMonterey,2.111575439888316e-5,1.749777300641507e-5,1.20676810649799,0.22752597596814889,Log Volume
COUNTY.xNapa,-7.439968368799989e-6,6.771826607390159e-6,-1.0986649245686062,0.27191843000224325,Log Volume
COUNTY.xNevada,-9.190392473782684e-5,7.358335188180217e-5,-1.2489771447956493,0.2116780565507861,Log Volume
COUNTY.xOrange,-6.155305979953623e-5,4.3393446530234e-5,-1.4184874611572895,0.15605342485606258,Log Volume
